TransactionID,AccountID,Date,Type,Amount,Fee
1,46.0,2000-01-02 03:32:38,Deposit,1570.02,50
10,2.0,2000-01-25 07:05:26,Deposit,2845.12,50
100,54.0,2000-11-04 06:06:24,Withdrawal,1562.21,100
1000,90.0,2008-01-07 10:04:18,Deposit,1389.11,50
1001,110.0,2008-01-12 10:01:00,Transfer,1406.55,0
1002,141.0,2008-01-13 02:46:10,Transfer,995.53,0
1003,146.0,2008-01-14 08:09:58,Deposit,1201.22,5
1004,59.0,2008-01-14 10:48:50,Withdrawal,1713.67,100
1005,92.0,2008-01-16 15:38:47,Deposit,2420.75,50
1006,148.0,2008-01-18 00:13:21,Withdrawal,1135.98,100
1007,28.0,2008-01-21 03:32:49,Deposit,2655.43,50
1008,111.0,2008-01-21 05:25:36,Transfer,1267.85,0
1009,78.0,2008-01-25 19:18:22,Deposit,2357.21,50
101,118.0,2000-11-05 14:19:38,Deposit,381.47,5
1010,28.0,2008-01-29 03:32:12,Deposit,647.52,50
1011,96.0,2008-02-01 07:33:43,Deposit,1786.19,50
1012,91.0,2008-02-04 14:01:43,Deposit,48.56,50
1013,38.0,2008-02-05 02:35:14,Deposit,1925.34,5
1014,142.0,2008-02-06 17:11:19,Transfer,535.34,0
1015,55.0,2008-02-10 05:24:13,Deposit,1716.53,50
1016,79.0,2008-02-13 14:58:38,Deposit,2112.88,50
1017,69.0,2008-02-15 12:51:55,Deposit,549.44,5
1018,67.0,2008-02-18 10:12:17,Deposit,1814.81,50
1019,73.0,2008-02-21 08:12:43,Deposit,742.0299999999999,50
102,53.0,2000-11-05 18:13:57,Deposit,2704.51,50
1020,90.0,2008-03-02 14:41:12,Deposit,820.57,50
1021,22.0,2008-03-03 11:30:27,Transfer,1934.31,0
1022,58.0,2008-03-06 02:24:14,Deposit,2055.28,50
1023,22.0,2008-03-06 06:19:22,Transfer,1974.5,0
1024,92.0,2008-03-10 14:17:58,Deposit,1040.96,50
1025,143.0,2008-03-24 06:22:35,Deposit,2689.99,50
1026,54.0,2008-03-30 09:17:33,Transfer,2117.91,0
1027,63.0,2008-04-03 07:06:45,Transfer,2342.29,0
1028,1.0,2008-04-03 22:53:22,Deposit,2298.53,50
1029,64.0,2008-04-08 11:58:48,Deposit,789.75,5
103,48.0,2000-11-11 05:17:16,Deposit,1479.42,50
1030,34.0,2008-04-09 00:13:04,Deposit,2729.79,50
1031,72.0,2008-04-15 21:50:00,Deposit,1024.07,5
1032,7.0,2008-04-16 11:41:20,Deposit,444.53,50
1033,11.0,2008-04-23 04:06:09,Withdrawal,666.02,100
1034,119.0,2008-04-27 03:46:12,Deposit,2569.86,50
1035,106.0,2008-04-29 15:36:38,Withdrawal,2154.98,100
1036,121.0,2008-05-04 18:15:38,Withdrawal,639.75,100
1037,121.0,2008-05-05 15:05:07,Transfer,1311.78,0
1038,144.0,2008-05-08 08:41:47,Deposit,2861.52,5
1039,92.0,2008-05-10 01:03:31,Deposit,529.13,50
104,2.0,2000-11-11 07:28:28,Deposit,629.34,50
1040,114.0,2008-05-11 17:20:12,Withdrawal,510.09,100
1041,113.0,2008-05-14 17:41:59,Deposit,2504.13,50
1042,15.0,2008-05-17 03:18:54,Transfer,2449.61,0
1043,58.0,2008-05-18 05:40:57,Deposit,2315.81,50
1044,143.0,2008-05-19 02:38:10,Deposit,2978.34,50
1045,23.0,2008-05-19 11:45:39,Deposit,1912.18,50
1046,69.0,2008-05-23 07:28:26,Deposit,2103.17,5
1047,85.0,2008-05-29 14:59:42,Deposit,2623.83,5
1048,4.0,2008-06-01 11:34:40,Deposit,2812.11,5
1049,1.0,2008-06-04 05:43:53,Deposit,676.85,50
105,98.0,2000-11-18 15:31:07,Deposit,779.46,50
1050,95.0,2008-06-04 11:31:07,Withdrawal,589.0,100
1051,67.0,2008-06-12 23:43:02,Deposit,2063.11,50
1052,39.0,2008-06-17 03:47:50,Deposit,1765.65,50
1053,32.0,2008-06-18 00:18:13,Deposit,1112.07,50
1054,106.0,2008-06-18 12:27:44,Withdrawal,2032.33,100
1055,98.0,2008-06-20 23:55:01,Deposit,2965.36,50
1056,77.0,2008-06-28 23:09:49,Deposit,2738.01,50
1057,83.0,2008-07-04 21:06:23,Deposit,2942.52,5
1058,79.0,2008-07-04 21:57:02,Deposit,2101.33,50
1059,6.0,2008-07-08 23:32:03,Withdrawal,1673.75,100
